adjective, subjectivity, naturalness, count 
last, 0.2866666666666665, 0.9838709677419355, 620 
best, 0.7973170731707316, 0.7477477477477478, 111 
new, 0.4954411764705882, 0.5421487603305785, 605 
Vietnamese, 0.18824324324324318, 0.041666666666666664, 72 
current, 0.45905405405405403, 0.9294117647058824, 85 
international, 0.25948717948717953, 0.3854748603351955, 179 
national, 0.30430555555555566, 0.08646616541353383, 532 
European, 0.22779411764705879, 0.1590909090909091, 88 
civilized, 0.7124999999999999, 0.10256410256410256, 39 
professional, 0.5950000000000001, 0.1111111111111111, 18 
individual, 0.44, 0.31666666666666665, 60 
internal, 0.32200000000000006, 0.13157894736842105, 38 
large, 0.5894285714285715, 0.775, 120 
white, 0.24945945945945946, 0.1875, 48 
black, 0.21878378378378374, 0.375, 24 
different, 0.6642857142857143, 0.36792452830188677, 106 
long, 0.5952380952380953, 0.75, 52 
plain, 0.6914814814814813, 0.8666666666666667, 15 
old, 0.5972972972972972, 0.6213592233009708, 103 
Japanese, 0.15041095890410955, 0.08333333333333333, 12 
English, 0.21560975609756097, 0.1875, 16 
everyday, 0.3717567567567565, 0.0, 7 
young, 0.6303389830508471, 0.1271186440677966, 118 
designated, 0.30625000000000013, 0.0, 3 
gold, 0.20492957746478874, 0.0, 27 
biggest, 0.5523529411764706, 0.6666666666666666, 30 
unique, 0.7377272727272727, 0.6666666666666666, 3 
solid, 0.27796610169491515, 0.0, 4 
speedy, 0.6421052631578945, 0.5, 4 
daily, 0.14119402985074622, 0.2727272727272727, 11 
Hispanic, 0.25819444444444445, 0.3333333333333333, 3 
historical, 0.37163934426229506, 0.07692307692307693, 13 
potential, 0.6721621621621623, 0.7391304347826086, 23 
senior, 0.4323076923076921, 0.4, 10 
selfish, 0.7038961038961038, 0.14285714285714285, 7 
frozen, 0.20390243902439031, 1.0, 2 
wooden, 0.23384615384615387, 0.0, 10 
mixed, 0.4992647058823529, 0.3333333333333333, 3 
strict, 0.7198507462686565, 1.0, 14 
red, 0.2803076923076922, 0.1, 10 
narrow, 0.4866197183098589, 0.6666666666666666, 9 
open, 0.3716666666666668, 0.35714285714285715, 14 
slow, 0.5956790123456792, 0.2, 5 
overhead, 0.3032894736842106, 0.0, 1 
entrepreneurial, 0.45986301369863025, 0.0, 4 
green, 0.2017142857142857, 0.0, 10 
closest, 0.3668918918918919, 0.5, 2 
blue, 0.21969696969696975, 0.0, 2 
junior, 0.4381250000000001, 1.0, 1 
creative, 0.7837662337662336, 0.6, 5 
exciting, 0.7735632183908046, 0.875, 8 
yellow, 0.23805555555555552, 0.0, 1 
fast, 0.6272058823529415, 1.0, 1 
circular, 0.2317391304347826, 0.0, 1 
favorite, 0.7985526315789473, 0.0, 3 
sweet, 0.6448750000000001, 0.5, 2 
