adjective, subjectivity, naturalness, count 
biggest, 0.5523529411764706, 0.7857142857142857, 14 
last, 0.2866666666666665, 0.9672131147540983, 61 
long, 0.5952380952380953, 0.0, 4 
young, 0.6303389830508471, 0.2962962962962963, 27 
different, 0.6642857142857143, 0.35294117647058826, 34 
sweet, 0.6448750000000001, 1.0, 1 
red, 0.2803076923076922, 0.0, 3 
black, 0.21878378378378374, 0.0, 4 
large, 0.5894285714285715, 0.8333333333333334, 12 
entrepreneurial, 0.45986301369863025, 0.0, 3 
new, 0.4954411764705882, 0.5074626865671642, 67 
national, 0.30430555555555566, 0.15625, 64 
individual, 0.44, 0.0, 3 
old, 0.5972972972972972, 1.0, 6 
internal, 0.32200000000000006, 0.0, 1 
best, 0.7973170731707316, 0.6666666666666666, 12 
white, 0.24945945945945946, 0.125, 8 
Hispanic, 0.25819444444444445, 0.0, 2 
potential, 0.6721621621621623, 0.75, 4 
international, 0.25948717948717953, 0.5, 10 
historical, 0.37163934426229506, 0.0, 1 
current, 0.45905405405405403, 1.0, 3 
European, 0.22779411764705879, 0.6666666666666666, 3 
professional, 0.5950000000000001, 0.0, 1 
civilized, 0.7124999999999999, 0.0, 1 
senior, 0.4323076923076921, 0.0, 1 
green, 0.2017142857142857, 0.0, 2 
open, 0.3716666666666668, 0.0, 1 
strict, 0.7198507462686565, 1.0, 4 
